 INS,  VAL
TA51,   125831
TA52,   119247
TA53,   116459
TA54,   120261
TA55,   118184
TA56,   120586
TA57,   122880
TA58,   122489
TA59,   121872
TA60,   123954
TA81,   365463 
TA82,   372001 
TA83,   370027 
TA84,   372393 
TA85,   368915 
TA86,   370908 
TA87,   373408 
TA88,   384525 
TA89,   374423 
TA90,   379296 
TA101, 1221768   
TA102, 1231880   
TA103, 1254822   
TA104, 1226654   
TA105, 1215411   
TA106, 1219698   
TA107, 1237014   
TA108, 1233257   
TA109, 1222431   
TA110, 1234864  
